locus,rsid,chr,pos,pip,gene,Astro,Sst
rs10069930,rs10057161,5,140156831,0.003639,-,0.3161340010911226,0.3472779982984066
rs10069930,rs10060640,5,140211226,0.004938,PCDHA1,0.028341261367087516,0.032439488129139965
rs10069930,rs10064176,5,140161604,0.001991,PCDHA1,0.06347188120806319,0.06691020020470023
rs10069930,rs10066278,5,140156318,0.004238,-,0.11905919963121414,0.12566799944639206
rs10069930,rs10069930,5,140163328,0.01822,PCDHA1,0.06350760055705905,0.04182999962195754
rs10069930,rs10072015,5,140170655,0.003361,PCDHA1,0.07960680098831653,0.06415119932591914
rs10069930,rs10073974,5,140165231,0.003361,PCDHA1,0.03860053821715383,0.044482199545949695
rs10069930,rs10223116,5,140192643,0.004558,PCDHA1,0.05864040033146739,0.11783599956333637
rs10069930,rs1030163,5,140185132,0.003639,PCDHA1,0.09317260215985992,0.04802439995110035
rs10069930,rs1030164,5,140185272,0.003912,PCDHA1,0.10097260274775496,0.04597739995270968
rs10069930,rs1030165,5,140185448,0.002688,PCDHA1,0.10104120047017932,0.05347120002657175
rs10069930,rs1030166,5,140185473,0.003639,PCDHA1,0.0987948006503284,0.05580300008505583
rs10069930,rs10477033,5,140169603,0.001991,PCDHA1,0.3197376019358635,0.10400540000200272
rs10069930,rs10477034,5,140169730,0.003361,PCDHA1,0.26301600340008735,0.09624459973350168
rs10069930,rs11167600,5,140174865,0.004238,PCDHA2,3.0603455905914307,1.5882761984467506
rs10069930,rs11167609,5,140200426,0.004558,PCDHA1,0.0,0.022838105283480646
rs10069930,rs11741994,5,140145949,0.004238,AC005609.2,0.9828467975258828,0.3275734011828899
rs10069930,rs11953833,5,140155123,0.002688,-,0.08056119559286394,0.10243899948149919
rs10069930,rs11958868,5,140201420,0.004558,PCDHA5,0.06004440093040466,0.05055199933052063
rs10069930,rs12055222,5,140165568,0.003912,PCDHA1,0.07225919949635863,0.04213259953260422
rs10069930,rs12659129,5,140147248,0.001716,AC005609.2,0.179524801120162,0.04200799947977066
rs10069930,rs12717860,5,140171442,0.003361,PCDHA1,0.07698600111156702,0.03796739958226681
rs10069930,rs13157397,5,140184442,0.003361,PCDHA1,0.09147767616479202,0.03014516095150142
rs10069930,rs13168514,5,140146821,0.003127,AC005609.2,0.24031800296902656,0.06804939940571784
rs10069930,rs13168670,5,140146899,0.004558,AC005609.2,0.2363868038356304,0.061392199318856
rs10069930,rs13181143,5,140206744,0.002688,PCDHA1,0.14171040177345276,0.06717720002681017
rs10069930,rs13184940,5,140172918,0.003361,PCDHA1,0.06977880026400089,0.11349279894679785
rs10069930,rs1476768,5,140173597,0.003361,PCDHA1,0.1689480014592409,0.10699579968303442
rs10069930,rs1548699,5,140164918,0.004238,PCDHA1,0.05001671198062659,0.014543450826666707
rs10069930,rs1548700,5,140164889,0.004238,PCDHA1,0.05369302358969238,0.013174220052181806
rs10069930,rs1548701,5,140164557,0.003127,PCDHA1,0.048250799722969535,0.02849779963120818
rs10069930,rs155358,5,140297032,0.003175,PCDHA13,0.032424214680265684,0.04028139971569181
rs10069930,rs155359,5,140315425,0.002154,PCDHAC1,0.023399999365210533,0.032348775004549905
rs10069930,rs155360,5,140309016,0.001991,PCDHAC1,0.07948496861230275,0.022237464601934796
rs10069930,rs155361,5,140307284,0.002485,PCDHAC1,0.07080839953944087,0.014796594065547728
rs10069930,rs155363,5,140301543,0.003175,PCDHA13,0.05014285639840729,0.013082999680191278
rs10069930,rs155364,5,140346468,0.004605,PCDHAC2,2.0947211936712264,1.1354085990190506
rs10069930,rs173471,5,140335226,0.007787,PCDHAC1,0.023539285075717738,0.04163419949635863
rs10069930,rs183679,5,140271017,0.006207,PCDHA13,0.0,0.06278059986978769
rs10069930,rs184996,5,140323773,0.008447,PCDHAC1,0.503989200398326,0.03189759946987033
rs10069930,rs192184,5,140341499,0.007232,PCDHAC1,1.3173731937408448,0.12741239966452123
rs10069930,rs192231,5,140248539,0.002941,PCDHA1,0.07235280008614063,0.14854099950939417
rs10069930,rs1972544,5,140158957,0.004238,-,0.08480160152167082,0.07974400003254413
rs10069930,rs2098058,5,140157427,0.004238,-,2.9148443922996523,1.0951984037160873
rs10069930,rs2240692,5,140183585,0.004238,PCDHA1,0.4169412010014057,0.05231419938057661
rs10069930,rs2240693,5,140183325,0.003127,PCDHA1,0.6200063983201981,0.06890379939973354
rs10069930,rs2240694,5,140183058,0.003127,PCDHA3,0.7658819968700409,0.06326119987666606
rs10069930,rs2240695,5,140168151,0.003639,PCDHA1,0.06346080157533288,0.029781548416662054
rs10069930,rs2240696,5,140168070,0.003361,PCDHA1,0.06603480210900306,0.03182915666889492
rs10069930,rs2262568,5,140139640,0.002142,AC005609.2,0.026395651457858257,0.01270194143707891
rs10069930,rs2337516,5,140140853,0.003377,AC005609.2,0.09472319981083274,0.032431599508970975
rs10069930,rs2337985,5,140157861,0.003639,-,1.4049827967882156,0.3436468006372452
rs10069930,rs2337986,5,140160622,0.003361,-,0.11512800136208534,0.04508739920705557
rs10069930,rs2337987,5,140188383,0.002313,PCDHA4,0.04182749976171181,0.06197959952801466
rs10069930,rs246002,5,140341104,0.006719,PCDHAC1,0.2080441762747478,0.06527260049805045
rs10069930,rs246003,5,140340865,0.007232,PCDHAC1,0.07463181731432225,0.02833759966865182
rs10069930,rs246005,5,140339884,0.006719,PCDHAC1,0.052369200523942706,0.053631399728357794
rs10069930,rs246006,5,140339228,0.007787,PCDHAC1,0.07884928301766643,0.07910319974273443
rs10069930,rs246007,5,140338748,0.007787,PCDHAC1,0.05433479900285602,0.07271300030499697
rs10069930,rs246008,5,140338485,0.007787,PCDHAC1,0.03464341369434828,0.050533263040216346
rs10069930,rs246009,5,140338069,0.007787,PCDHAC1,0.041883635227427336,0.036660110000056575
rs10069930,rs246010,5,140336635,0.007787,PCDHAC1,0.6544980024099349,0.053079599667340514
rs10069930,rs246011,5,140336405,0.007787,PCDHAC1,0.5059548009335995,0.06064459972083568
rs10069930,rs246012,5,140336277,0.007787,PCDHAC1,0.343465202152729,0.05528679937124252
rs10069930,rs246013,5,140335900,0.007787,PCDHAC1,0.12977640027552842,0.07369199998676777
rs10069930,rs246014,5,140335797,0.007787,PCDHAC1,0.09603360056132078,0.0746176000982523
rs10069930,rs246016,5,140335474,0.007787,PCDHAC1,0.059062501621575884,0.04346759945899248
rs10069930,rs246017,5,140335060,0.007787,PCDHAC1,0.04007425159773605,0.05099699945002794
rs10069930,rs246018,5,140335043,0.007787,PCDHAC1,0.041533333607591115,0.05252779947221279
rs10069930,rs246019,5,140334936,0.007787,PCDHAC1,0.05267554574023818,0.05432559960335493
rs10069930,rs246020,5,140334771,0.007787,PCDHAC1,0.05962320058420301,0.04937719965353608
rs10069930,rs246021,5,140334504,0.008447,PCDHAC1,0.061490977645144426,0.047045399736613036
rs10069930,rs246022,5,140333996,0.007787,PCDHAC1,0.023399999365210533,0.05437396168708801
rs10069930,rs246023,5,140333990,0.01154,PCDHAC1,0.023399999365210533,0.05316490507069624
rs10069930,rs246024,5,140333952,0.01154,PCDHAC1,0.023399999365210533,0.043794716515068735
rs10069930,rs246025,5,140333768,0.007787,PCDHAC1,0.023399999365210533,0.01767101408103886
rs10069930,rs246026,5,140333705,0.008447,PCDHAC1,0.023399999365210533,0.020346607188735388
rs10069930,rs246027,5,140333601,0.008447,PCDHAC1,0.03129570467249016,0.026117381221419263
rs10069930,rs246028,5,140333513,0.008447,PCDHAC1,0.036731473107143225,0.03033191886062574
rs10069930,rs246029,5,140333226,0.008447,PCDHAC1,0.038999998942017555,0.03352639135933414
rs10069930,rs246030,5,140333154,0.007787,PCDHAC1,0.03996788212743989,0.03635237078691266
rs10069930,rs246031,5,140333107,0.007787,PCDHAC1,0.038553302918893126,0.03684783463471943
rs10069930,rs246032,5,140332547,0.008447,PCDHAC1,0.037668291661070614,0.048288391022933475
rs10069930,rs246033,5,140332115,0.007787,PCDHAC1,0.028313999231904745,0.03401579964533448
rs10069930,rs246034,5,140332064,0.008447,PCDHAC1,0.026629199277609587,0.03363866911205829
rs10069930,rs246035,5,140331965,0.008447,PCDHAC1,0.024850799325853587,0.028365160921408283
rs10069930,rs246036,5,140331886,0.008447,PCDHAC1,0.028313999231904745,0.022852902819392503
rs10069930,rs246037,5,140331846,0.007232,PCDHAC1,0.030185999181121588,0.0220298920868225
rs10069930,rs246038,5,140331699,0.007787,PCDHAC1,0.03566159903258085,0.028652257560401833
rs10069930,rs246041,5,140331128,0.007787,PCDHAC1,0.023399999365210533,0.031292399648576975
rs10069930,rs246042,5,140330967,0.008447,PCDHAC1,0.023399999365210533,0.03697059951722622
rs10069930,rs246043,5,140330924,0.008447,PCDHAC1,0.023399999365210533,0.03725539952516556
rs10069930,rs246044,5,140330656,0.009097,PCDHAC1,0.023399999365210533,0.028069230252763762
rs10069930,rs246045,5,140329884,0.009097,PCDHAC1,0.07740720016509295,0.039337999802082774
rs10069930,rs246046,5,140329264,0.009097,PCDHAC1,0.06472440078109502,0.026521999452263117
rs10069930,rs246047,5,140328337,0.009097,PCDHAC1,0.0473221088164537,0.03843019971624017
rs10069930,rs246048,5,140327900,0.009097,PCDHAC1,0.06258932025470201,0.025916952340036246
rs10069930,rs246049,5,140327590,0.009097,PCDHAC1,0.13884324330271158,0.04298316208488887
rs10069930,rs246050,5,140326860,0.009097,PCDHAC1,0.0658411764877611,0.02995739971473813
rs10069930,rs246052,5,140326413,0.009097,PCDHAC1,0.059448648717355085,0.020986199487000704
rs10069930,rs246054,5,140326159,0.009097,PCDHAC1,0.030272726451496146,0.03298339958488941
rs10069930,rs246055,5,140325662,0.008447,PCDHAC1,0.11020040210105016,0.0177793501122161
rs10069930,rs246056,5,140325600,0.009097,PCDHAC1,0.13533547245906685,0.022095127454731966
rs10069930,rs246057,5,140325583,0.008447,PCDHAC1,0.1426977971102109,0.022717896923922853
rs10069930,rs246058,5,140325134,0.009097,PCDHAC1,0.13763879992812872,0.04384139993414283
rs10069930,rs246059,5,140325010,0.008447,PCDHAC1,0.10071359957009554,0.041616399701684716
rs10069930,rs246060,5,140324749,0.008447,PCDHAC1,0.08428679898008704,0.05044519989937544
rs10069930,rs246061,5,140324656,0.008447,PCDHAC1,0.09023039917275309,0.056408199727535246
rs10069930,rs246062,5,140324580,0.008447,PCDHAC1,0.09388079879805446,0.06504119973629713
rs10069930,rs246063,5,140324492,0.008447,PCDHAC1,0.09739079910516739,0.07353179973363877
rs10069930,rs246064,5,140324309,0.008447,PCDHAC1,0.10562759985774756,0.07346059989929199
rs10069930,rs246065,5,140323638,0.008447,PCDHAC1,0.7252595972418785,0.042381799791008236
rs10069930,rs246066,5,140323147,0.005758,PCDHAC1,0.866969997882843,0.039382956639024025
rs10069930,rs246072,5,140320426,0.008447,PCDHAC1,0.026421620904862345,0.015828858798482275
rs10069930,rs246074,5,140307969,0.002889,PCDHAC1,0.032777861706230024,0.011698583283437886
rs10069930,rs246075,5,140300557,0.004948,PCDHA13,0.032391407235852286,0.012855555241306623
rs10069930,rs251368,5,140241027,0.002941,PCDHA1,0.32951880526542665,0.25608860021829605
rs10069930,rs251370,5,140246287,0.001894,PCDHA1,0.2604888023138046,0.8014450005888939
rs10069930,rs251372,5,140250252,0.002941,PCDHA11,0.05924879990890622,0.11981179980933666
rs10069930,rs251373,5,140252615,0.00203,PCDHA1,0.07305479917302728,0.06735519990697503
rs10069930,rs251375,5,140252960,0.00203,PCDHA1,0.10047960037738085,0.06130319960415363
rs10069930,rs251376,5,140253689,0.002941,PCDHA1,0.06650778756583811,0.06922419974952936
rs10069930,rs251377,5,140255792,0.002941,PCDHA12,0.027866810523862435,0.06598459980636835
rs10069930,rs2563256,5,140141779,0.001477,AC005609.2,0.0914472007676959,0.060448799766600135
rs10069930,rs2563258,5,140140239,0.003121,AC005609.2,0.10939500206150114,0.020238599505275488
rs10069930,rs2563259,5,140139594,0.003377,AC005609.2,0.026395651457858257,0.013251982054915196
rs10069930,rs2563260,5,140137867,0.001997,-,0.03416399907320738,0.05210059956088662
rs10069930,rs2563263,5,140137644,0.002688,-,0.043010794287759134,0.04473139949887991
rs10069930,rs2563265,5,140137005,0.001848,-,0.034555813016066715,0.02342479957267642
rs10069930,rs2563266,5,140136915,0.001477,-,0.03331373955428828,0.03568899975344539
rs10069930,rs2563267,5,140136913,0.001477,-,0.03323863546194678,0.03604499976709485
rs10069930,rs2563269,5,140136468,0.002688,-,0.02503799932077527,0.06014620008692145
rs10069930,rs2563293,5,140110536,0.002142,RP11-515C16.7,0.06168239923194051,0.03878619952499866
rs10069930,rs265312,5,140296272,0.003175,PCDHA13,0.07604999880328081,0.04218599969893694
rs10069930,rs265316,5,140290843,0.003409,PCDHA13,0.028694412629406214,0.043220260921127136
rs10069930,rs2879086,5,140188401,0.002313,PCDHA4,0.04192499975906685,0.06194399955868721
rs10069930,rs2879087,5,140188575,0.002688,PCDHA4,0.046472399823367594,0.06210419963300228
rs10069930,rs2879089,5,140191893,0.002688,PCDHA1,0.099403200622648,0.0856714002713561
rs10069930,rs3733707,5,140181892,0.003912,PCDHA3,0.17447039937973022,0.060199599660933016
rs10069930,rs3733708,5,140181734,0.003127,PCDHA3,0.2672280002981424,0.05850859976559877
rs10069930,rs3733710,5,140167463,0.003361,PCDHA1,0.03172702616634401,0.08438980004936457
rs10069930,rs3756334,5,140213796,0.001625,PCDHA1,0.05372640033066273,0.059558799646794794
rs10069930,rs3756338,5,140180561,0.003912,PCDHA1,0.6032519989013672,0.04423299968615174
rs10069930,rs3756339,5,140180537,0.003127,PCDHA1,0.6275411993265152,0.04380579960718751
rs10069930,rs3756340,5,140180451,0.003912,PCDHA1,0.7005959987044335,0.046030799482017756
rs10069930,rs3756341,5,140171194,0.003361,PCDHA1,0.06715800153464078,0.039053199641406536
rs10069930,rs3756342,5,140165624,0.003361,PCDHA1,0.07801559944078326,0.0370325951891346
rs10069930,rs3806842,5,140212676,0.002688,PCDHA1,0.03815217312101437,0.05268799938261509
rs10069930,rs3806843,5,140212538,0.003912,PCDHA1,0.04103478165748327,0.056692999333143236
rs10069930,rs3806845,5,140180737,0.003912,PCDHA1,0.39546000403165815,0.05366700006648898
rs10069930,rs3822346,5,140187322,0.002688,PCDHA4,0.03950869536999127,0.09510540059953929
rs10069930,rs4141841,5,140203432,0.004238,PCDHA5,0.04663862171101159,0.05290159994363785
rs10069930,rs4151680,5,140186657,0.002688,PCDHA1,0.025703626245723487,0.10113959997147322
rs10069930,rs4151682,5,140201264,0.004558,PCDHA1,0.05274360016733408,0.0576363992318511
rs10069930,rs4404730,5,140162610,0.002154,PCDHA1,0.08129160156100988,0.07833779970556498
rs10069930,rs4451093,5,140158542,0.003639,-,0.16670159992575645,0.06361719997227192
rs10069930,rs550475,5,140273528,0.007262,PCDHA13,0.09079199943691492,0.09248880011588335
rs10069930,rs6421140,5,140155977,0.004558,-,0.13824720120429992,0.11765800017118454
rs10069930,rs6579965,5,140168811,0.003361,PCDHA1,0.04309551425691016,0.0710932002067566
rs10069930,rs6579987,5,140183659,0.003912,PCDHA1,0.3690648011863232,0.04524759955704212
rs10069930,rs6579988,5,140183823,0.004238,PCDHA1,0.22538879992440342,0.03237347910747186
rs10069930,rs6867549,5,140153730,0.002313,-,0.8713224041461944,0.11351059912145138
rs10069930,rs6870764,5,140171790,0.003361,PCDHA1,0.09102600187063217,0.06724839965254069
rs10069930,rs6885319,5,140200611,0.004558,PCDHA1,0.0,0.034371799595654014
rs10069930,rs6891559,5,140145206,0.003912,AC005609.2,0.17587440322339534,0.12422619850188493
rs10069930,rs6891995,5,140172008,0.003361,PCDHA1,0.08054280216246844,0.08134599981456996
rs10069930,rs6898906,5,140169299,0.003639,PCDHA1,0.21565440015867351,0.06541500011831522
rs10069930,rs6898939,5,140169355,0.004238,PCDHA1,0.2555748004503548,0.07338940035924316
rs10069930,rs7447696,5,140162160,0.002889,PCDHA1,0.08723519898951054,0.07798180045187474
rs10069930,rs7701755,5,140182101,0.002889,PCDHA3,0.2029248006939888,0.05765419968217611
rs10069930,rs7710380,5,140156264,0.005758,-,0.12593879945576192,0.12314039988815785
rs10069930,rs7710794,5,140209467,0.004938,PCDHA6,0.062150399569422005,0.03292999935150147
rs10069930,rs7732179,5,140199039,0.004938,PCDHA1,0.04686985125959809,0.040779799561947584
rs10069930,rs7733403,5,140154215,0.007232,-,1.07527679926157,0.13431879791617393
rs10069930,rs7737424,5,140146345,0.001716,AC005609.2,0.5191524066627026,0.11498800052702426
rs10069930,rs801174,5,140112712,0.001848,RP11-515C16.7,0.4304196002483368,0.33412380039691925
rs10069930,rs9686540,5,140174622,0.003361,PCDHA2,1.3893047978878021,0.6019959992170334
rs10069930,rs9716546,5,140191243,0.002688,PCDHA1,0.21925800129771233,0.2489685982763767
rs10069930,rs991918,5,140194858,0.008447,PCDHA1,0.062415820310311676,0.11874379995465278
rs10086619,rs10086619,8,111580570,0.09844,-,0.032062209927139367,0.04142059958353639
rs10086619,rs10096710,8,111510799,0.0255,-,0.02878571350482248,0.018652694154820758
rs10086619,rs12675948,8,111598096,0.05206,-,0.0,0.01206325271716678
rs10086619,rs13250438,8,111571550,0.076,CTD-2544L4.1,0.023399999365210533,0.019935999512672425
rs10086619,rs13250780,8,111608434,0.06287,-,0.0250834525569523,0.03384342064198695
rs10086619,rs13267290,8,111478321,0.02228,-,0.023399999365210533,0.04499839937314391
rs10086619,rs13276609,8,111607634,0.06287,-,0.0,0.011131974649513402
rs10086619,rs13280766,8,111576689,0.06727,-,0.023399999365210533,0.023638399612158537
rs10086619,rs16880919,8,111620054,0.06727,RP11-238I10.1,0.03720502105685707,0.011567192146266673
rs10086619,rs2088034,8,111603123,0.05917,-,0.03127959098818959,0.034156221855017876
rs10086619,rs34137090,8,111483782,0.02091,-,0.03844285633947168,0.01917059963569045
rs10086619,rs34183176,8,111489302,0.02091,-,0.02371728749219644,0.017038287871794122
rs10086619,rs34921000,8,111627068,0.04614,RP11-238I10.1,0.04801243537834271,0.023813512931401666
rs10086619,rs35355486,8,111511043,0.02719,-,0.027391763962805273,0.0
rs10086619,rs36043959,8,111472014,0.01462,-,0.031199999153614044,0.03620519957691431
rs10086619,rs36068923,8,111485761,0.01704,-,0.03505320026725531,0.018729850302325254
rs10086619,rs4642619,8,111487468,0.01948,-,0.0,0.013318880793306377
rs10086619,rs6986210,8,111499725,0.02091,-,0.0,0.016108999606221915
rs10086619,rs6995307,8,111506565,0.0255,-,0.03142285629042557,0.017305555132528145
rs10086619,rs6999792,8,111506979,0.0255,-,0.03832919898256659,0.02561419961601496
rs10086619,rs7002308,8,111495249,0.02392,-,0.023399999365210533,0.0279993994012475
rs10086619,rs7002942,8,111495677,0.02392,-,0.023399999365210533,0.02105739960819483
rs10086619,rs7007361,8,111621265,0.06287,RP11-238I10.1,0.040463656859556454,0.024581799425184726
rs10086619,rs7815859,8,111476741,0.01462,-,0.03552196714721742,0.03191539980098605
rs10117,rs10040792,5,137759010,0.01302,KDM3B,0.03172962958522049,0.029434226315046094
rs10117,rs10043984,5,137712121,0.01023,KDM3B,0.023399999365210533,0.03406680648864693
rs10117,rs10045661,5,137679642,0.0008813,FAM53C,0.03612959913164377,0.09638699949532747
rs10117,rs10055995,5,137698299,0.01361,KDM3B,0.030009566715033832,0.027803599644452334
rs10117,rs10071273,5,137786448,0.001933,REEP2,0.04299999883350653,0.024439399424940347
rs10117,rs10117,5,137892170,0.07654,HSPA9,0.0599399993625971,0.08583159823715687
rs10117,rs1046576,5,137782335,0.002452,REEP2,0.023399999365210533,0.03331909496243575
rs10117,rs1052648,5,137684732,0.0006968,FAM53C,0.06474586393460072,0.06197959963977337
rs10117,rs10633,5,137842673,0.0005238,ETF1,0.0376464700764593,0.09574620010703802
rs10117,rs10900851,5,137681986,0.01058,FAM53C,0.04870666666991181,0.029992999654263258
rs10117,rs112148211,5,137712143,0.0006072,KDM3B,0.023399999365210533,0.035506512378851156
rs10117,rs11242424,5,137719172,0.0005924,KDM3B,0.03643448188881185,0.027233999405056237
rs10117,rs112607152,5,137917914,0.0002907,-,0.023399999365210533,0.011773734651954778
rs10117,rs11334,5,137772296,0.0005162,KDM3B,0.023399999365210533,0.023371399622410537
rs10117,rs113898250,5,137868017,0.000304,ETF1,0.05018181833145502,0.07328260001540184
rs10117,rs114318690,5,137793946,0.002226,RP11-461O14.3,0.04638947455800677,0.018788888429601986
rs10117,rs11567997,5,137625228,0.01664,CDC25C,0.030585062164519585,0.021871659444712917
rs10117,rs115852152,5,137452070,0.0006281,NME5,0.04341796757216798,0.16190879869461058
rs10117,rs116792216,5,137599682,0.0185,GFRA3,0.041652000591158866,0.034585399314761164
rs10117,rs11738995,5,137927619,0.02274,-,0.023399999365210533,0.022550481865691602
rs10117,rs11743810,5,137802404,0.0003043,EGR1,0.04597763578517559,0.07257060041278601
rs10117,rs11949335,5,137704195,0.0006417,KDM3B,0.023399999365210533,0.021698199532926083
rs10117,rs11956240,5,137840293,0.0299,ETF1,0.029068322192808117,0.22237539926171304
rs10117,rs11957778,5,137917826,0.02881,-,0.023399999365210533,0.013553734608443387
rs10117,rs12513428,5,137711442,0.0006525,KDM3B,0.05561171703539383,0.024599599547684193
rs10117,rs12514133,5,137742465,0.0005309,KDM3B,0.03200762930557091,0.06945559954643249
rs10117,rs12514669,5,137757571,0.0005385,KDM3B,0.0328671746809064,0.03629419962689281
rs10117,rs12517410,5,137736611,0.007255,KDM3B,0.11765520057454705,0.20094419887661935
rs10117,rs12517974,5,137744369,0.0005805,KDM3B,0.023399999365210533,0.05629466008847055
rs10117,rs12519732,5,137757377,0.0005791,KDM3B,0.03390612152918261,0.050178199648857114
rs10117,rs12653150,5,137770833,0.0005257,KDM3B,0.08450386081808399,0.022413803133085095
rs10117,rs12655771,5,137750065,0.0005814,KDM3B,0.062337600968778134,0.11254939979314804
rs10117,rs12657315,5,137770961,0.000509,KDM3B,0.07256083145118608,0.031504907673853305
rs10117,rs12658925,5,137873946,0.0006205,ETF1,0.023948826642432954,0.03271639944985509
rs10117,rs12659034,5,137773525,0.0004761,REEP2,0.032287271851391505,0.03139919944852591
rs10117,rs12659550,5,137719722,0.0006229,KDM3B,0.05442272758845127,0.033552999399602414
rs10117,rs13155345,5,137854924,0.01921,ETF1,0.03355559961497784,0.046101999148726466
rs10117,rs13164092,5,137840860,0.02991,ETF1,0.033357445903597994,0.1106803989559412
rs10117,rs13165802,5,137858492,0.0199,ETF1,0.12528360076621176,0.02815636329428114
rs10117,rs13169274,5,137855305,0.02058,ETF1,0.033086510730344194,0.044624599412083625
rs10117,rs13185992,5,137925635,0.02357,-,0.023399999365210533,0.046155399654060604
rs10117,rs13187637,5,137876651,0.0002657,ETF1,0.05656611596903771,0.016009769723590077
rs10117,rs143011323,5,137935656,0.0009934,-,0.08344440145418047,0.5579231982827186
rs10117,rs145148878,5,137494358,0.09023,BRD8,0.04351239551382124,0.12693179711699487
rs10117,rs145236749,5,137827086,0.001288,-,0.023399999365210533,0.022459685314856273
rs10117,rs150336400,5,137591509,0.05503,GFRA3,0.023399999365210533,0.01712745550072163
rs10117,rs150446164,5,137873725,0.0002953,ETF1,0.023399999365210533,0.03029559950903058
rs10117,rs151239137,5,137794722,0.0006259,RP11-461O14.3,0.023399999365210533,0.052895546547676385
rs10117,rs154069,5,137876920,0.03279,ETF1,0.06481800132989883,0.024367770802858006
rs10117,rs154075,5,137862582,0.01357,ETF1,0.03464117553085089,0.05939859970659018
rs10117,rs154076,5,137863134,0.01415,ETF1,0.043787123275672926,0.03825219983607531
rs10117,rs17171808,5,137699199,0.0006843,KDM3B,0.07505660298704102,0.08883980003744364
rs10117,rs17171818,5,137725003,0.0006137,KDM3B,0.044889795590116056,0.035368599496781825
rs10117,rs17171820,5,137761832,0.0005417,KDM3B,0.029211763913432758,0.03173739970847964
rs10117,rs17207604,5,137931590,0.02095,-,0.03023766151738244,0.07645100016891956
rs10117,rs181919,5,137882612,0.05268,ETF1,0.09005454691828459,0.042755599841475485
rs10117,rs1859466,5,137775081,0.0008527,REEP2,0.023399999365210533,0.031007599763572216
rs10117,rs186408828,5,137572981,0.07505,-,0.040850846799311495,0.0642223996669054
rs10117,rs187653,5,137882698,0.07335,ETF1,0.08526708163691234,0.04280899984017014
rs10117,rs188731,5,137881104,0.05265,ETF1,0.08787506029027517,0.023762999445199967
rs10117,rs2043273,5,137931091,0.01663,-,0.03793787131125623,0.0663749428258059
rs10117,rs2240330,5,137780631,0.0005699,REEP2,0.037429645002316846,0.07216119996458292
rs10117,rs2240331,5,137780368,0.003958,REEP2,0.03205799913033843,0.07241039983928203
rs10117,rs2269948,5,137765759,0.009907,KDM3B,0.04215319216885465,0.020576799497008323
rs10117,rs2269949,5,137730183,0.0006253,KDM3B,0.05038865517527491,0.03522619923576713
rs10117,rs2269950,5,137730062,0.0005792,KDM3B,0.04847494713569942,0.02969039934128523
rs10117,rs2286057,5,137766440,0.01036,KDM3B,0.06294600067287684,0.03693499952927232
rs10117,rs2286058,5,137766366,0.0005514,KDM3B,0.07511400057375431,0.038981999464333054
rs10117,rs2286060,5,137677224,0.0006191,FAM53C,0.027845999244600534,0.08855499923229218
rs10117,rs2350640,5,137778981,0.003956,REEP2,0.09730693012346874,0.154521800018847
rs10117,rs255999,5,137889799,0.0334,HSPA9,0.6785999999642373,0.5104328008294106
rs10117,rs256002,5,137895218,0.05097,HSPA9,0.044909091172457644,0.036425565436853276
rs10117,rs256006,5,137897094,0.05101,HSPA9,0.023399999365210533,0.008899999782443047
